1,"-22.53328017307219, -47.38590268161084","-22.53604198520155, -47.386423074487375","-22.53698938520111, -47.38488837448735","-22.542558985198273, -47.385696174487215","-22.547590985195686, -47.38880700332266","-22.54674551159577, -47.391173903322766","-22.548212393889152, -47.39348163215836","-22.552297201995025, -47.39707680332256","-22.554803301633726, -47.39955423215809","-22.55952329307102, -47.39846780332245","-22.566297892580657, -47.39833163215782","-22.565688892624827, -47.40228563215787","-22.56916689237313, -47.405561903322315","-22.570487592277498, -47.40700267448648","-22.579399588682886, -47.40891476739661","-22.577216198401096, -47.40820147448643","-22.579273485179314, -47.40568687448635","-22.579544091621806, -47.40320283215757","-22.581771291460523, -47.403227074486175","-22.583278191351408, -47.40353720332189","-22.584229685176794, -47.405795374486175","-22.587429996926897, -47.40572740332172","-22.58987159657442, -47.40632110332173","-22.593116685172188, -47.406684574486114","-22.58886738517431, -47.40417436099302","-22.588840990948462, -47.40205660332182","-22.59027489084452, -47.39983470332168","-22.592100990712343, -47.39925007448602","-22.593275290627226, -47.398593603321686","-22.59638629040177, -47.39909017448594","-22.59844279025281, -47.400013503321524","-22.60184569484521, -47.4001614033214","-22.600688995012323, -47.397913674485906","-22.600068285168604, -47.39512946099261","-22.59837669534632, -47.39031143215713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"-22.545453041504718, -47.451042656065376","-22.547905985195484, -47.44657887448714","-22.54868540251557, -47.44717417448714","-22.552670701941185, -47.44800333215815","-22.556202693311178, -47.44573780332267","-22.559146393098292, -47.44428133215798","-22.558793201058467, -47.442651303322535","-22.561108800724575, -47.438851232157994","-22.561342285188566, -47.435975332158016","-22.559662893060846, -47.43484497448684","-22.558696593130808, -47.43256370332248","-22.558183585190168, -47.4304380744869","-22.55879329312382, -47.427874032158115","-22.559195693094676, -47.42293763215805","-22.558818977258483, -47.420099574486834","-22.560777785188893, -47.415556603322514","-22.558276285190107, -47.41274257448685","-22.55890870104185, -47.40971147448684","-22.559039732536935, -47.40722002080822","-22.55917039309648, -47.40476234247359","-22.56069418049058, -47.40354523432915","-22.563612085187394, -47.399957103322414","-22.56628798518592, -47.398320903322215","-22.569286885184447, -47.39912630332216","-22.5694576923521, -47.400725632157815","-22.570703478106328, -47.40202593215774","-22.571549885183305, -47.40342090332229","-22.57255938518279, -47.40297207448652","-22.57452959198493, -47.39496430332206","-22.577100685180476, -47.391482174486406","-22.578215791718044, -47.390224532157596","-22.579599891617768, -47.3894477321576","-22.58168739775579, -47.38776433215751","-22.581851891454654, -47.3850670456507","-22.580928885178494, -47.38506573215759","-22.580096085178937, -47.38185393215762","-22.579098285179402, -47.378105332157524","-22.578444685179747, -47.374925503322046","-22.57803779173089, -47.37357520332193","-22.577326891782402, -47.36969150332191","-22.58075438517862, -47.370062603321976","-22.581510185178168, -47.371336560993136","-22.582244566436724, -47.37298057448632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"-22.561879592900464, -47.45247967448683","-22.562986792820347, -47.4522503744867","-22.564860800183425, -47.45319117448654","-22.565876892611197, -47.4547552321578","-22.56699959252997, -47.44970520332223","-22.566846892541037, -47.447937374486756","-22.566637892556166, -47.44533297448671","-22.565955585186163, -47.44294163215788","-22.566947392533713, -47.44050580332235","-22.56569688518633, -47.4388305033223","-22.561342285188566, -47.4359538744868","-22.559662893060846, -47.434866432158046","-22.558696593130808, -47.432552974486875","-22.558183585190168, -47.4304488033225","-22.55879329312382, -47.42786330332251","-22.559871393045807, -47.42536953215805","-22.561572392922677, -47.42297833215802","-22.562122592882915, -47.41754007448669","-22.565093277706044, -47.41299973215792","-22.570465785176108, -47.41010750329215","-22.57096618518361, -47.4084298033222","-22.568235792440515, -47.40569113215779","-22.565688892624827, -47.402274903322265","-22.566297892580657, -47.398320903322215","-22.563657032274225, -47.39144782503503","-22.56000159726354, -47.39404338839101","-22.559313958335633, -47.38973741227952","-22.55757680123389, -47.38377500332254","-22.554144293460105, -47.37950143215815","-22.553452085192617, -47.37901060332249","-22.554188893456885, -47.37692890332261","-22.556711093274455, -47.37202783215807","-22.557587093211012, -47.37040880332241","-22.556216285191184, -47.373006732158196","-22.555559693357797, -47.37428363215811","-22.554178985192223, -47.37693963215822","-22.551502985193665, -47.37902554565148","-22.544830094133744, -47.36635780332275","-22.545594294078505, -47.36646383215839","-22.547096285195863, -47.36792584565156","-22.54809870260012, -47.36812700332268","-22.549675693783307, -47.36929857448715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"-22.540308657419807, -47.425007303322865","-22.539802885199652, -47.42146160332288","-22.544916085197006, -47.42217860332277","-22.542807694279965, -47.41620910332284","-22.546841693988327, -47.411813803322666","-22.549243993814542, -47.41425473215835","-22.55052549372193, -47.412270203322755","-22.551422785193694, -47.41143420332256","-22.550727702221216, -47.40881900332268","-22.552946185192837, -47.40665484565142","-22.556547477096505, -47.40413670332259","-22.559170393096505, -47.40477253215802","-22.560742306831994, -47.403642662291574","-22.563621992774422, -47.399957103322414","-22.566297892580657, -47.39833163215782","-22.56365563166056, -47.39144714023676","-22.561324992940627, -47.393394732158036","-22.566340138896045, -47.39292793885174","-22.56740960361123, -47.39028600088584","-22.569360085184464, -47.38769620332218","-22.57190367819194, -47.385515603322105","-22.572997099009818, -47.38542433215772","-22.57418729200965, -47.38524000332211","-22.5763191918553, -47.38582670332197","-22.57884218517956, -47.386051203321976","-22.580125804383457, -47.381843203322006","-22.57910819165336, -47.378105332157524","-22.5782325851799, -47.377184674486294","-22.58087879152512, -47.37612037448638","-22.58030888517878, -47.3735147321575","-22.581094004174094, -47.36998023215754","-22.579351691635775, -47.369297803322006","-22.581116891507918, -47.36985773215755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"-22.597137285170195, -47.3698633033215","-22.599238785169053, -47.36949520332155","-22.59378709328621, -47.37414705687084","-22.59541910005801, -47.37452063934133","-22.59250739619388, -47.37914823215737","-22.591581890749925, -47.37823256099283","-22.590491990828866, -47.3766886321573","-22.589941890868662, -47.372595174486136","-22.589925790869888, -47.37237137448618","-22.58398729130003, -47.37554140332201","-22.581919585177925, -47.37570670332191","-22.578736778679602, -47.376849703322016","-22.576509785180754, -47.37752197448645","-22.57558539190854, -47.38188597448649","-22.57388649203146, -47.37964323215769","-22.57306019900071, -47.38093757448658","-22.57144978518332, -47.38862866099336","-22.57142528518332, -47.391036003322135","-22.56933707800882, -47.393035645651004","-22.567870899749312, -47.39360260332218","-22.56628798518592, -47.398320903322215","-22.564923800174455, -47.40338410332227","-22.564968885186723, -47.406415732157996","-22.56694988518566, -47.408587774486655","-22.57061244003885, -47.40992835434873","-22.57245359213516, -47.41191457448662","-22.575709191899477, -47.41687517448649","-22.57820509171876, -47.42041733215761","-22.575694785181096, -47.42469430332201","-22.5732134989786, -47.422735874486534","-22.57134079221578, -47.42032077448657","-22.570754192258168, -47.419437174486625","-22.56911679956951, -47.41756543215777","-22.568127085185033, -47.418335703322185","-22.56810070698283, -47.419706803322306","-22.569392092356793, -47.42460443215784","-22.56952069951133, -47.4248657033222","-22.57163798518327, -47.429057645651","-22.56564719262786, -47.42954223215796","-22.564836992686466, -47.42530570332228","-22.56361789277469, -47.42455913215801","-22.562425800534704, -47.42512353215791","-22.56284192215643, -47.42340691846106","-22.57292838680089, -47.45138263913086","-22.573252085182435, -47.44962493215771","-22.57446545795805, -47.4533051744865","-22.57460690557659, -47.4537171744865","-22.57660799183442, -47.45385430332199","-22.576354998525364, -47.45593860332205","-22.576262798538618, -47.45759680332195","-22.574638285181752, -47.45689037448657","-22.57429939200153, -47.455055932157656","-22.573087285182517, -47.45204570332208","-22.571708092189247, -47.452688660993346","-22.568390592429317, -47.44280030332212","-22.56825479969391, -47.444674545651026","-22.56630597779256, -47.444799032157846","-22.565700185186362, -47.44652027448676","-22.566322777793726, -47.44804343215796","-22.566751985185793, -47.4499325033222","-22.56662289255725, -47.4512579033222","-22.563990000309033, -47.45180793215788","-22.563523692781544, -47.452265674486696","-22.561378400685708, -47.452387032157986","-22.561879592900464, -47.45247967448683",,,,,,,,
08B,"-22.533309894966564, -47.385910732158685","-22.53605189476837, -47.38641234565177","-22.53701911369542, -47.38488837448735","-22.542558985198273, -47.385696174487215","-22.548940424201803, -47.38433804367443","-22.55347696897705, -47.37900486190854","-22.554188893456885, -47.37693963215822","-22.556701185190956, -47.37202783215807","-22.558862501048417, -47.37299913215802","-22.5601201930278, -47.37393400332247","-22.561074692958737, -47.37744430332243","-22.56309329281269, -47.37759357448682","-22.563769707918624, -47.37786030332232","-22.56595319260573, -47.37606730332218","-22.56839509967376, -47.37664017448655","-22.57154038518328, -47.37428883215782","-22.573704285182156, -47.373778003322194","-22.574930491955893, -47.375245103322094","-22.576133391868723, -47.376051374486394","-22.57652959850015, -47.37754343215766","-22.57824249171611, -47.37720613215751","-22.57883929167283, -47.37790850332201","-22.579256891642686, -47.37991987448637","-22.57984519802166, -47.38196287448634","-22.57850548517974, -47.37650437448641","-22.58616109114259, -47.37917397448621","-22.589617373739685, -47.37226013215733","-22.590491990828866, -47.3766886321573","-22.590181890851326, -47.37873550332172","-22.58797059684889, -47.383571403321774","-22.593849396000113, -47.38194020332162","-22.600159175251157, -47.384792403321384","-22.602998766152563, -47.38513890332145","-22.595906285170813, -47.38136504565029","-22.58778570272702, -47.383480674486194","-22.584909991233268, -47.38489970332183","-22.5812800851783, -47.38754320332196","-22.57953519806641, -47.38893123215757","-22.578329991709804, -47.38982910332194","-22.576896891813536, -47.39105463215761","-22.57441388518179, -47.39407070332205","-22.572925399020214, -47.39518683215776","-22.572096685183016, -47.39584390332217","-22.569984399444408, -47.39779930332215","-22.56630779997469, -47.39833163215782",,,,,,,,,,,,,,,,,,,,,,,,,,,,
08C,"-22.564925227766576, -47.367708962136675","-22.56793249246238, -47.37190913215796","-22.568107092449786, -47.37253787448666","-22.56837528518499, -47.37664017448655","-22.571550292200556, -47.37426737448662","-22.573704285182156, -47.373767274486596","-22.574920585181587, -47.37523437448649","-22.57612348518089, -47.376072832157604","-22.576519691840804, -47.37752197448645","-22.57824249171611, -47.3771954033219","-22.57883929167283, -47.37790850332201","-22.579256891642686, -47.37993060332198","-22.579825385179003, -47.38198433215756","-22.579266978717545, -47.38587810332191","-22.576663591830407, -47.38565797448655","-22.57482168518164, -47.385304074486456","-22.572971985182605, -47.38527223215766","-22.57161079219616, -47.385477403322156","-22.569088277991067, -47.387635632157775","-22.567190992516096, -47.39056560332224","-22.567549392490193, -47.39210703215783","-22.566297892580657, -47.398320903322215","-22.56625139998291, -47.40192990332225","-22.569156985184566, -47.405561903322315","-22.570487592277498, -47.40701340332208","-22.574174892010564, -47.40772863215762","-22.577206291791114, -47.408222932157635","-22.57928339164069, -47.405697603321954","-22.579553998063716, -47.40319210332196","-22.57952669162303, -47.401929903321886","-22.580485597929272, -47.40089790332197","-22.58483649123855, -47.40154600332185","-22.58511789121815, -47.4026761033218","-22.59027489084452, -47.39983470332168","-22.592100990712343, -47.39926080332162","-22.593265385172145, -47.398593603321686","-22.596376385170505, -47.39909017448594","-22.600068285168604, -47.3951080033214","-22.59837669534632, -47.390289974485924","-22.59580168517087, -47.387381832157146","-22.595368990475464, -47.38888880332165","-22.59697329554902, -47.39177597448603","-22.599592174515386, -47.393385497928676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"-22.56623655239011, -47.401931504967486","-22.56916689237313, -47.405561903322315","-22.570477685183842, -47.40701340332208","-22.574174892010564, -47.40771790332201","-22.577216198401096, -47.40820147448643","-22.579273485179314, -47.405697603321954","-22.579534185179178, -47.40319210332196","-22.57952669162303, -47.40191917448629","-22.580475691554344, -47.40089790332197","-22.58483649123855, -47.40154600332185","-22.58511789121815, -47.4026761033218","-22.574114403188727, -47.41262769792911","-22.57555163306423, -47.414419467321146","-22.589266190917634, -47.41342400332164","-22.592058490715342, -47.414856174486175","-22.59862179023981, -47.418572203321524","-22.59945449017947, -47.418185203321514","-22.601305194923373, -47.41865817448588","-22.602814385167274, -47.41772770332138","-22.60389229454962, -47.41735920332144","-22.605682289728026, -47.41624540332135","-22.61035838938893, -47.41511120332127","-22.612352585162334, -47.41463410332106","-22.612669685162135, -47.4166276033212","-22.606964689635014, -47.41833923215701","-22.607411789602633, -47.41930640332138","-22.606730385165186, -47.42102803215688","-22.60805079394884, -47.42217260332121","-22.61234208516231, -47.42151170332124","-22.61454718908527, -47.42271530332117","-22.61447808516126, -47.423740503321184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11B,"-22.62065828167473, -47.41481847448535","-22.60309278991574, -47.41554533215704","-22.621167888605072, -47.41329700332111","-22.621490088581748, -47.41017340332092","-22.619876292239855, -47.40983350332103","-22.618951685158923, -47.40968520332101","-22.617487285159683, -47.40952390332115","-22.61664168893339, -47.411449503321094","-22.61372828914465, -47.412111832156626","-22.61236248924373, -47.414644832156675","-22.610220789399012, -47.4150709744857","-22.606176480639483, -47.41626123215693","-22.606170494220514, -47.41652263215697","-22.606964689635014, -47.418328503321405","-22.60740188516484, -47.41930640332138","-22.606750194136723, -47.42101730332127","-22.60435528516643, -47.42371867448577","-22.60278248993823, -47.42517880332134","-22.602331394775103, -47.42692440332143","-22.601192385168062, -47.42984547448585","-22.598751175049234, -47.434112732157104","-22.594727290522037, -47.43240537448598","-22.591997890719863, -47.430889860992885","-22.59060839082043, -47.4341127321573","-22.589639790890587, -47.43553920332178","-22.588611985174445, -47.43517970332178","-22.5865114911172, -47.43445860332186","-22.5875028910454, -47.43320410332168","-22.589620896610686, -47.431386903321695","-22.590639490818162, -47.42946200332183","-22.591188490778325, -47.428355874486144","-22.592014790718572, -47.42653117448609","-22.590120885173732, -47.43038640332177","-22.590929290797227, -47.42113067448613","-22.58956869089579, -47.41996793215744","-22.586953891085148, -47.41966163215749","-22.58295029137515, -47.41933397448628","-22.581926791449252, -47.41934723215755","-22.580548291549142, -47.41905760332198","-22.579505785179183, -47.42044223215763","-22.57602539187663, -47.41683640332199","-22.575859285181057, -47.41669600332203","-22.572621685182703, -47.41181603215777","-22.57096618518361, -47.40844053215781","-22.568215977928837, -47.40568040332218","-22.565688892624827, -47.402274903322265","-22.566288954730823, -47.39832060526242",,,,,,,,,,,,,,,,,,,,,,,,,,
12,"-22.565685678158424, -47.40227374537136","-22.561862292901765, -47.4021929321579","-22.56070730236543, -47.40355414888036","-22.559052893105036, -47.40723173215811","-22.559075901017735, -47.40832660332239","-22.55825269316293, -47.40998967448683","-22.556068085191253, -47.41386660332257","-22.558323101126202, -47.41731877448686","-22.558349385190127, -47.42063720332248","-22.55884789311987, -47.42267520332241","-22.559477593074266, -47.42520073215803","-22.56079290077012, -47.427626932158056","-22.560095385189168, -47.42948863215801","-22.559561193068223, -47.430802732158114","-22.558406593151876, -47.43242640332241","-22.55735189322805, -47.43531187448683","-22.55646939329195, -47.44102437448691","-22.55458739342812, -47.442070903322644","-22.553984793471713, -47.44398860332256","-22.552892585192886, -47.44533540332254","-22.554221393454583, -47.446534103322676","-22.55636619329945, -47.44880023215817","-22.55759809321033, -47.44538977448697","-22.55913648518971, -47.44425987448677","-22.55909119310224, -47.44308790332246","-22.560756900775317, -47.44316300332237","-22.563962192749756, -47.44339833215788","-22.565193192660747, -47.443385603322376","-22.565451592642017, -47.44348620332227","-22.565752485186344, -47.44496070332222","-22.565700185186362, -47.44653100332236","-22.56634259257751, -47.44803270332235","-22.566761892547202, -47.449921774486604","-22.566612985185856, -47.4512471744866","-22.563980092748455, -47.45178647448667","-22.563523692781544, -47.45228713215791","-22.56136849293749, -47.452387032157986","-22.56186968518825, -47.45250113215805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
